#angDist  RA_ICRS    DE_ICRS   umag   gmag   rmag   imag   zmag   e_umag e_gmag e_rmag e_imag  e_zm source_id          
0.042675 178.744534 47.202736 19.106 18.945 18.772 18.575 18.429 0.021  0.009  0.010  0.011   0.03 774552890332703872 
0.048191 178.744535 47.202735 19.114 18.949 18.766 18.575 18.488 0.021  0.009  0.010  0.011   0.03 774552890332703872 
0.046641 177.371507 47.741419 18.790 18.487 18.514 18.454 18.451 0.017  0.007  0.008  0.010   0.03 786736441241116416 
0.065389 177.371504 47.741425 18.787 18.486 18.513 18.446 18.480 0.017  0.007  0.008  0.010   0.02 786736441241116416 
0.091326 177.586791 47.838427 19.614 19.292 19.046 18.896 18.633 0.031  0.011  0.011  0.013   0.03 786738678927521536 
0.102889 177.586788 47.838430 19.585 19.298 19.040 18.891 18.669 0.027  0.011  0.011  0.013   0.03 786738678927521536 
0.077207 174.081965 41.084079 18.657 18.578 18.246 18.221 18.282 0.017  0.008  0.007  0.009   0.02 767820340117443840 
0.077207 174.081965 41.084079 18.657 18.578 18.246 18.221 18.282 0.017  0.008  0.007  0.009   0.02 767820340117443840 
0.085766 174.081961 41.084082 18.640 18.578 18.248 18.218 18.259 0.016  0.008  0.007  0.009   0.02 767820340117443840 
0.094221 179.812976 47.784804 18.261 18.063 17.708 17.694 17.798 0.014  0.006  0.006  0.007   0.02 774599619576512256 
0.098570 179.812977 47.784805 18.274 18.066 17.710 17.704 17.794 0.014  0.006  0.006  0.007   0.02 774599619576512256 
0.011891 174.550631 41.231339 20.852 20.311 19.722 19.218 18.866 0.082  0.023  0.018  0.016   0.03 767837352483589504 
0.013077 174.550632 41.231340 20.840 20.270 19.692 19.188 18.823 0.082  0.022  0.018  0.016   0.03 767837352483589504 
0.069245 177.162187 39.412855 19.609 18.729 18.535 18.489 18.225 0.033  0.008  0.009  0.010   0.02 767898749043615872 
0.093032 177.162179 39.412864 19.618 18.737 18.542 18.495 18.230 0.032  0.008  0.009  0.010   0.02 767898749043615872 
0.093441 177.162179 39.412865 19.660 18.763 18.564 18.521 18.271 0.033  0.009  0.009  0.010   0.02 767898749043615872 
0.074348 176.724606 39.190016 99.999 99.999 99.999 99.999 99.999 9.999  9.999  9.999  9.999  9.999  767938778135383808 
0.082349 176.724605 39.190013 19.950 18.926 18.638 18.611 18.542 0.035  0.009  0.009  0.011   0.03 767938778135383808 
0.083270 176.724601 39.190024 99.999 99.999 99.999 99.999 99.999 9.999  9.999  9.999  9.999  9.999  767938778135383808 
0.094904 176.724596 39.190022 19.979 18.936 18.644 18.617 18.554 0.035  0.009  0.009  0.011   0.02 767938778135383808 
0.030177 177.101102 39.423955 21.737 19.289 18.742 18.499 18.528 0.155  0.011  0.010  0.010   0.03 767945512644157440 
0.051770 177.101093 39.423966 21.749 19.298 18.748 18.501 18.526 0.157  0.011  0.010  0.010   0.02 767945512644157440 
0.015422 178.344657 40.439686 19.014 18.401 18.281 18.196 18.095 0.022  0.007  0.008  0.009   0.02 768069173342810240 
0.036408 178.344649 40.439687 19.035 18.404 18.281 18.198 18.097 0.022  0.007  0.008  0.009   0.02 768069173342810240 
0.036728 178.344668 40.439692 18.767 18.255 18.131 18.064 17.971 0.017  0.006  0.007  0.008   0.01 768069173342810240 
0.038592 178.344668 40.439692 18.771 18.261 18.130 18.059 17.985 0.017  0.007  0.007  0.008   0.01 768069173342810240 
0.041882 178.344672 40.439692 18.752 18.250 18.131 18.070 17.953 0.017  0.006  0.007  0.008   0.02 768069173342810240 
0.046162 178.344671 40.439694 18.780 18.262 18.130 18.049 17.969 0.017  0.007  0.007  0.008   0.02 768069173342810240 
0.050365 178.075923 40.694166 19.471 19.351 19.133 19.173 19.093 0.032  0.012  0.012  0.016   0.04 768125871206152704 
0.063547 178.075929 40.694165 19.452 19.345 19.125 19.166 19.077 0.032  0.012  0.012  0.018   0.04 768125871206152704 
0.050259 174.308405 47.102619 18.394 17.956 17.843 17.636 17.614 0.015  0.006  0.006  0.007   0.01 787031488314393984 
0.052480 174.308410 47.102618 18.388 17.952 17.841 17.633 17.600 0.015  0.006  0.006  0.007   0.01 787031488314393984 
0.044074 177.840775 40.869251 18.541 18.519 18.638 18.412 18.408 0.016  0.007  0.009  0.010   0.02 768142634463221376 
0.045339 177.840773 40.869250 18.553 18.522 18.641 18.418 18.439 0.016  0.007  0.009  0.010   0.02 768142634463221376 
0.017228 174.706404 47.369211 18.408 18.340 18.335 18.093 18.225 0.015  0.007  0.008  0.009   0.03 787060492230067072 
0.027288 174.706406 47.369207 18.422 18.347 18.342 18.109 18.198 0.016  0.007  0.008  0.009   0.02 787060492230067072 
0.028978 176.309107 39.787771 25.473 19.760 18.452 18.164 18.078 0.784  0.015  0.008  0.008   0.02 768164555976715264 
0.063349 176.309115 39.787764 24.576 19.741 18.442 18.157 18.054 1.047  0.014  0.008  0.008   0.02 768164555976715264 
0.027847 174.059250 47.287136 18.809 18.646 18.414 18.415 18.276 0.020  0.008  0.008  0.010   0.03 787082035786085120 
0.043602 174.059267 47.287134 18.830 18.647 18.415 18.408 18.332 0.020  0.008  0.008  0.010   0.03 787082035786085120 
0.093693 174.059218 47.287142 99.999 99.999 99.999 99.999 99.999 9.999  9.999  9.999  9.999  9.999  787082035786085120 
0.109721 174.059212 47.287143 99.999 99.999 99.999 99.999 99.999 9.999  9.999  9.999  9.999  9.999  787082035786085120 
0.035159 176.740621 40.102568 18.747 18.653 18.470 18.551 18.625 0.018  0.007  0.008  0.010   0.03 768186924165873920 
0.037415 176.740631 40.102568 18.731 18.643 18.458 18.540 18.620 0.018  0.007  0.008  0.010   0.03 768186924165873920 
0.012615 174.565995 47.436884 17.720 15.780 14.937 14.545 14.245 0.017  0.003  0.002  0.002   0.00 787110416929922688 
0.036854 174.565996 47.436891 17.555 15.698 14.859 14.470 14.149 0.016  0.003  0.002  0.002   0.00 787110416929922688 
0.068866 174.491699 47.470664 17.275 15.425 14.576 14.165 13.852 0.012  0.003  0.002  0.002   0.00 787111069764956288 
0.068868 174.491699 47.470664 18.009 15.403 14.554 14.144 13.832 0.019  0.003  0.002  0.002   0.00 787111069764956288 
0.076602 174.491701 47.470666 17.403 15.499 14.644 14.234 13.935 0.012  0.003  0.002  0.002   0.00 787111069764956288 
0.014841 176.552701 40.489706 19.205 18.971 18.778 18.836 18.726 0.022  0.009  0.009  0.012   0.03 768254990807854080 
0.017594 176.552701 40.489709 19.226 18.979 18.781 18.858 18.757 0.022  0.009  0.009  0.012   0.03 768254990807854080 
0.039197 176.552710 40.489709 19.200 18.966 18.776 18.834 18.731 0.021  0.009  0.009  0.012   0.03 768254990807854080 
