Filename,Object_name,RA,Dec,GAIA_ID,GAIA_Gmag,Type,Subtype,Method,Chi2,z,z_std,AB,AB_std,compoM_AB,compoM_AB_std,best_compoM_extinct_params,best_compoM_Chi2,LOF_val,SDSS-u,err_SDSS-u,SDSS-g,err_SDSS-g,SDSS-r,err_SDSS-r,SDSS-i,err_SDSS-i,SDSS-z,err_SDSS-z,SDSS_phot_method,UKIDSS_Y,err_UKIDSS_Y,UKIDSS_J,err_UKIDSS_J,UKIDSS_H,err_UKIDSS_H,UKIDSS_K,err_UKIDSS_K,UKIDSS_phot_method,WISE_W1,err_WISE_W1,WISE_W2,err_WISE_W2,WISE_W3,err_WISE_W3,WISE_W4,err_WISE_W4,WISE_phot_method
spec-2129-54252-0337.fits,spec-2129-54252-0337,213.95988,31.730687,,,UNKNOWN,,,,,,,,,,,,,18.964,0.025,18.741,0.008,18.621,0.009,18.423,0.009,18.494,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch
spec-6003-56311-0944.fits,SDSS J134300.17+284407.5,205.75074780828177,28.735419297511378,1.4549023774735022e+18,16.758468627929688,QSO,QSO-MIDZ,xPCA,8942.270112347916,0.9057119154129565,0.00017648153604866008,,,2.8805560096500232e-11,1.3032018118442923e-05,LMC,33444.87540674163,-0.9933639059645661,17.578,0.011,17.202,0.004,17.002,0.005,17.091,0.006,16.993,0.01,Surveyphotometry.dat crossmatch,99.999,99.999,15.414,0.007,15.429,0.009,14.664,0.009,Surveyphotometry.dat crossmatch,13.342,0.024,12.349,0.023,9.779,0.044,7.101,0.094,Surveyphotometry.dat crossmatch
spec-2666-54230-0408.fits,SDSS J134143.80+244144.0,205.432535559677,24.69557194986122,1.444344037892156e+18,18.8107967376709,QSO,QSO,xPCA,3735.5344341856344,1.9056098338708523,0.00037053853240314334,,,0.110081910995837,0.0004524722815970744,SMC,4534.804171977186,-1.285909421105553,19.278,0.028,19.409,0.011,19.347,0.013,19.028,0.014,18.913,0.04,Surveyphotometry.dat crossmatch,99.999,99.999,17.969,0.036,17.644,0.054,17.123,0.057,Surveyphotometry.dat crossmatch,16.124,0.053,14.985,0.066,11.565,0.165,9.158,0.45,Surveyphotometry.dat crossmatch
spec-2742-54233-0235.fits,spec-2742-54233-0235,206.41043,16.314451,,,UNKNOWN,,,,,,,,,,,,,18.784,0.021,18.647,0.008,18.582,0.009,18.623,0.012,18.555,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,14.939,0.034,13.794,0.035,11.214,0.125,8.75,0.351,Surveyphotometry.dat crossmatch
spec-6058-56090-0443.fits,spec-6058-56090-0443,210.0287,41.361831,,,UNKNOWN,,,,,,,,,,,,,20.119,0.04,18.318,0.007,18.023,0.007,17.666,0.007,17.442,0.01,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,14.716,0.028,14.077,0.037,10.607,0.063,8.049,0.172,Surveyphotometry.dat crossmatch
spec-2022-53827-0019.fits,SDSS J124949.60+352924.9,192.4566837778857,35.490275585047144,1.5169067200839818e+18,18.762683868408203,QSO,QSO-MIDZ,xPCA,3811.6425910938005,0.9835812754651887,0.0004260026988220623,,,6.234328390716023e-09,6.697090607326038e-05,LMC,5682.983990978815,-1.241631777971605,18.55,0.016,18.496,0.007,18.394,0.008,18.478,0.01,18.509,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.574,0.044,17.307,0.076,16.663,0.056,Surveyphotometry.dat crossmatch,15.055,0.034,13.835,0.035,11.434,0.171,99.999,99.999,Surveyphotometry.dat crossmatch
spec-5984-56337-0844.fits,SDSS J124145.80+262226.7,190.4408215377003,26.37409349928353,3.961327884191278e+18,18.2450008392334,QSO,QSO-MIDZ,xPCA,4724.278855511076,0.7469883144141922,0.00019739191633841473,,,0.057817102794895874,0.0021880595349965636,MW,4881.262943526643,-1.090451374008939,19.121,0.022,18.753,0.008,18.687,0.01,18.806,0.013,18.694,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.725,0.037,17.152,0.034,16.381,0.036,Surveyphotometry.dat crossmatch,14.785,0.031,13.61,0.034,10.626,0.079,8.47,0.302,Surveyphotometry.dat crossmatch
spec-2115-53535-0525.fits,SDSS J135021.29+260111.5,207.58871603861596,26.01986214383356,1.4505011999290307e+18,18.36619758605957,QSO,QSO,xPCA,7942.823120019336,2.0641254090720675,0.00037426735982738735,,,1.4271750014421825e-10,4.02893482816038e-05,SMC,8429.736408694194,-1.0706856779424556,18.706,0.019,18.488,0.007,18.402,0.008,18.28,0.009,18.01,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.406,0.022,16.981,0.035,16.312,0.035,Surveyphotometry.dat crossmatch,15.11,0.032,13.731,0.032,10.465,0.06,8.588,0.263,Surveyphotometry.dat crossmatch
spec-2595-54207-0028.fits,spec-2595-54207-0028,182.38711,17.014277,,,UNKNOWN,,,,,,,,,,,,,16.029,0.008,14.275,0.002,13.526,0.002,13.154,0.002,12.895,0.0,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,11.03,0.023,11.073,0.02,9.776,0.045,8.023,0.217,Surveyphotometry.dat crossmatch
spec-1776-53858-0260.fits,spec-1776-53858-0260,205.30685,13.181745,,,UNKNOWN,,,,,,,,,,,,,19.417,0.024,19.099,0.01,19.01,0.011,18.762,0.012,18.792,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,9.999,16.818,0.02,15.829,0.016,Surveyphotometry.dat crossmatch,14.268,0.03,13.164,0.03,10.074,0.054,7.478,0.131,Surveyphotometry.dat crossmatch
spec-1800-53884-0292.fits,spec-1800-53884-0292,200.67355,9.0153671,,,UNKNOWN,,,,,,,,,,,,,19.954,0.036,19.488,0.012,18.901,0.01,18.49,0.01,18.137,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.105,0.016,16.673,0.022,99.999,99.999,Surveyphotometry.dat crossmatch,14.989,0.033,13.684,0.034,10.343,0.074,7.819,0.176,Surveyphotometry.dat crossmatch
spec-2662-54505-0236.fits,SDSS J130006.74+235234.1,195.02811594738924,23.87613789112684,3.95705215405342e+18,18.679365158081055,QSO,QSO-MIDZ,xPCA,4945.508433266275,1.3503362559739096,0.0003864996394886275,,,1.5145984861263118e-08,0.00043729244547352963,LMC,5208.735305937974,-1.2929026227484093,19.284,0.027,19.21,0.01,19.031,0.011,18.972,0.013,18.949,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,18.034,0.043,17.464,0.05,16.717,0.041,Surveyphotometry.dat crossmatch,14.945,0.033,13.793,0.035,10.929,0.118,8.621,0.396,Surveyphotometry.dat crossmatch
