angDist,source_id,ra,dec,l,b,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ref_epoch,JName,ra,dec,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3,yAperMag3Err,j_1AperMag3Err,hAperMag3Err,kAperMag3Err,sourceID,mode,epoch,mergedClass
0.256157,3960977170045682688,191.40564948189348,25.39825395671803,265.60543508643605,87.83380176636528,0.10222064247748337,0.18753321,-0.07594374716302035,0.16494504,0.24383910283710025,0.1826516,18.513731,740.3793000531003,1.1971347,18.77811,18.048098,0.7300129,2016.0,J124537.37+252353.6,191.405724,+25.398231,17.546,17.248,16.792,16.103,0.021,0.025,0.023,0.027,433800469749,1,2010.1633,-1
0.122611,3960978406996535040,191.64789890659503,25.379151382201687,270.8120032686389,87.94090381623761,0.14950887939762783,0.24972898,-0.19393168077854636,0.28908992,-0.1497634110654785,0.25874156,18.936874,501.41434933513375,2.894894,19.122747,18.60942,0.51332664,2016.0,J124635.50+252245.0,191.647928,+25.379173,17.990,17.274,17.125,16.487,0.027,0.021,0.027,0.033,433800497747,1,2010.1633,1
0.154162,3961009158962082560,190.6589612032435,25.300621791551052,255.23339710012775,87.30983588350468,-0.04514943830819179,0.11393154,-0.07920386783287489,0.12607573,-0.04491757197109014,0.105799094,17.58128,1747.5701331200066,3.5791764,17.769985,17.277044,0.4929409,2016.0,J124238.15+251802.3,190.658991,+25.300655,17.046,16.072,16.119,15.478,0.013,0.008,0.012,0.014,433800521038,1,2010.1633,-1
0.240039,3961034344650625536,191.4960382065054,25.64518725388533,263.1532873404693,88.07877299165045,0.12194067339698082,0.19155897,0.07724053291547224,0.18598428,-0.17848135484393446,0.19220798,18.68974,629.5804916402782,2.0947044,18.98105,18.165617,0.8154335,2016.0,J124559.06+253842.8,191.496096,+25.645229,18.113,17.829,17.279,16.646,0.029,0.033,0.039,0.041,433799972252,2,2010.1656,-1
0.353149,3961034344650625536,191.4960382065054,25.64518725388533,263.1532873404693,88.07877299165045,0.12194067339698082,0.19155897,0.07724053291547224,0.18598428,-0.17848135484393446,0.19220798,18.68974,629.5804916402782,2.0947044,18.98105,18.165617,0.8154335,2016.0,J124559.07+253842.8,191.496130,+25.645240,18.165,17.833,17.329,16.780,0.032,0.036,0.039,0.051,433800010782,1,2010.1656,-1
0.122221,3961044652571862400,190.96808770736024,25.601918694474072,254.5169907513205,87.7193872219104,0.13570482278010068,0.16506782,-0.07672676428094886,0.14728256,-0.0961501842682585,0.1811354,18.360884,852.3014154412447,2.594161,18.603909,17.945591,0.65831757,2016.0,J124352.34+253607.0,190.968110,+25.601946,17.818,17.530,17.073,16.474,0.026,0.033,0.029,0.036,433800232628,1,2010.1633,-1
0.252680,3961087499165723648,191.86996133501452,25.729696236208714,270.3527190571158,88.34438660878789,-0.03147916591552567,0.1616342,-0.09203059640386346,0.15019271,0.08256962068448943,0.16130644,18.243427,949.6765827463709,1.5472498,18.470882,17.883486,0.5873966,2016.0,J124728.80+254346.9,191.870039,+25.729702,17.405,17.133,16.852,16.415,0.016,0.018,0.025,0.033,433799997635,2,2010.1656,-1
0.345794,3961087499165723648,191.86996133501452,25.729696236208714,270.3527190571158,88.34438660878789,-0.03147916591552567,0.1616342,-0.09203059640386346,0.15019271,0.08256962068448943,0.16130644,18.243427,949.6765827463709,1.5472498,18.470882,17.883486,0.5873966,2016.0,J124728.81+254347.0,191.870063,+25.729725,17.423,17.159,16.889,16.445,0.017,0.020,0.028,0.036,433800011903,1,2010.1656,-1
0.174274,3961136049475852544,191.75944539354273,25.814068792305964,265.84134800928615,88.35785581315204,-0.04258336394913924,0.1997777,0.15864528653405124,0.20670988,0.31751933185114434,0.19163923,18.413206,812.2028004974641,4.733319,18.477524,18.128342,0.34918213,2016.0,J124702.27+254850.7,191.759489,+25.814097,17.352,17.336,16.762,15.792,0.016,0.022,0.024,0.020,433799997823,1,2010.1656,-2
0.228424,3961136049475852544,191.75944539354273,25.814068792305964,265.84134800928615,88.35785581315204,-0.04258336394913924,0.1997777,0.15864528653405124,0.20670988,0.31751933185114434,0.19163923,18.413206,812.2028004974641,4.733319,18.477524,18.128342,0.34918213,2016.0,J124702.28+254850.7,191.759514,+25.814083,17.400,17.372,16.783,15.817,0.017,0.023,0.025,0.020,433800011755,2,2010.1656,-1
