angDist,source_id,ra,dec,l,b,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ref_epoch,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M
0.003948,1467758176661749376,197.56982042060784,33.738811436449666,92.53344997645567,82.2440779225373,-0.10573565991106221,0.100798845,-0.06115499788512888,0.08542216,-0.03488817924903952,0.11925489,18.131285,1053.0100366969102,2.2338603,18.372099,17.678377,0.6937218,2016.0,J131016.75+334419.7,197.5698196,+33.7388106,0.0617,0.0588,4.4,14.775,13.662,10.893,8.987,,,,0.031,0.033,0.098,0.455,,,,1979133301351044301,0000,0,000n,AAAC,180,171,71,180,
1.103916,1467762024952471680,197.73728936533936,33.81974211940451,92.00176253021186,82.10026395212637,-0.11842709458222733,0.46648186,0.6463039609602192,0.4587651,-0.9236526270592583,0.58214307,18.848284,544.0432816329262,4.481268,17.397326,16.096613,1.3007126,2016.0,J131056.96+334912.1,197.7373523,+33.8200443,0.0882,0.0545,0.4,13.573,13.492,11.902,8.497,14.833,14.091,13.809,0.046,0.049,,,0.043,0.050,0.057,1979133301351063374,0000,0,nnnn,AAUU,93,64,-32,73,1.116
0.098532,1462256392274551808,201.8670225503812,30.495262356729768,58.16481097270231,81.42305799026929,-0.1061798572958623,0.11569368,-0.024884564737020807,0.12472779,-0.03712432411861741,0.17713967,18.520025,736.0998011232692,2.9885547,18.654127,18.062653,0.59147453,2016.0,J132728.08+302943.0,201.8670287,+30.4952892,0.0407,0.0384,120.9,13.132,11.946,9.405,7.269,17.161,16.640,15.063,0.024,0.022,0.039,0.095,0.214,0.244,0.091,2017130201351045797,0000,0,1100,AAAA,148,45,164,47,0.144
0.189233,1462261576299685888,201.7870829322705,30.61196557495688,59.06280568487217,81.44469332078303,0.05491123666869906,0.15625557,0.1632375179642247,0.15075333,-0.22086799268698862,0.2148984,18.685846,631.841075504285,1.1173418,18.743734,18.300812,0.4429226,2016.0,J132708.90+303643.2,201.7871186,+30.6120083,0.0584,0.0569,9.0,14.789,13.759,11.206,8.458,17.195,16.652,16.024,0.029,0.032,0.127,0.270,0.218,0.248,0.229,2017130201351045827,0000,0,00nn,AABB,103,167,343,172,0.796
0.021220,1473179937217579392,199.45120885956254,34.87533418696973,88.47981888174714,80.41718994035865,-0.003675340653175762,0.08618464,-0.018309335874020925,0.07821639,-0.002623525584745899,0.09661952,17.841288,1375.4087257353917,2.5414991,17.952478,17.56452,0.38795853,2016.0,J131748.28+345231.2,199.4512017,+34.8753340,0.0424,0.0412,144.7,13.780,12.533,9.842,7.449,16.557,16.120,15.691,0.025,0.023,0.042,0.117,0.111,0.141,0.211,1991134801351030254,0000,0,0000,AAAB,200,61,183,86,0.253
0.049233,1467773638543986560,197.291428720464,33.83300583500456,94.36335121203783,82.28597697897804,0.05859935440981731,0.10247683,0.15257740004361198,0.08007539,0.008415053724950716,0.10506764,17.729795,1524.152384715878,3.8758929,17.945658,17.307377,0.63828087,2016.0,J130909.94+334958.8,197.2914209,+33.8330179,0.0536,0.0522,9.0,14.535,13.203,10.056,7.918,16.560,16.087,15.707,0.029,0.029,0.056,0.167,0.129,0.187,0.230,1979133301351066119,0000,0,110n,AAAB,160,160,375,163,0.736
0.151964,1473220756586774912,199.8575540111806,35.39781825022406,88.81606935567213,79.80068432501935,0.13148442335029314,0.08443722,-0.09798167343049416,0.12217895,0.15112349452097287,0.15484153,18.417162,809.2492309861647,2.6100764,18.641237,18.02356,0.6176777,2016.0,J131925.81+352352.2,199.8575454,+35.3978599,0.1069,0.0988,21.6,15.889,14.718,11.592,8.409,,,,0.047,0.051,0.199,0.230,,,,1991134801351055662,0000,0,00nn,AABB,803,362,648,387,
0.265387,1462317101636298496,200.59578062669786,29.955653915596873,57.33888606587111,82.64151541812932,-0.1805072299683141,0.15875903,4.983717419100193E-4,0.15154664,0.04996714352259311,0.2428766,18.723001,610.5850338478185,1.0147188,19.164852,18.056725,1.1081276,2016.0,J132222.96+295720.3,200.5956964,+29.9556432,0.0673,0.0651,15.2,14.951,14.208,10.866,8.079,16.688,16.571,15.818,0.031,0.038,0.105,0.180,0.143,,0.197,2000130201351023715,0000,0,110n,AAAB,-117,240,-280,242,0.357
0.131824,1462324665075235200,200.79787935691365,30.062320048989392,57.62832342914316,82.44003738825822,0.07633283761056396,0.09876154,-0.0787100740572186,0.09884711,0.1169781933352223,0.1409096,18.086712,1097.1398186192896,1.92016,18.23949,17.72753,0.511961,2016.0,J132311.48+300344.3,200.7978393,+30.0623318,0.0678,0.0649,13.1,15.215,13.823,10.647,8.027,,,,0.035,0.033,0.083,0.212,,,,2000130201351023555,0000,0,011n,AAAB,216,234,103,240,
0.099726,1467815385626147840,197.98948579584106,34.365247360649086,92.86205721165321,81.52911562005593,0.5403672292483468,0.6948347,-0.20806384753644122,0.57612306,0.12856184966278536,0.7924314,18.483261,761.4519729216911,11.420284,15.939548,14.670459,1.2690887,2016.0,J131157.47+342154.9,197.9894875,+34.3652750,0.0394,0.0373,127.9,11.289,11.348,10.142,8.170,12.860,12.293,12.029,0.023,0.022,0.053,0.205,0.032,0.037,0.033,1973134801351024103,0000,5,330n,AAAB,-155,40,-57,41,0.149
0.052194,1473259102055288960,200.85518749560597,34.51647461377092,82.01736917357685,79.92141601024896,-0.027734929544401696,0.0487315,-0.010917936873789084,0.04177406,-8.060648992836428E-4,0.058131766,16.860683,3393.697257697846,6.1781464,16.961117,16.489746,0.4713707,2016.0,J132325.24+343059.2,200.8551751,+34.5164643,0.0359,0.0348,132.5,12.677,11.444,8.773,6.601,15.782,15.101,14.342,0.023,0.021,0.023,0.054,0.080,0.104,0.066,2010134801351018801,0000,0,1111,AAAA,156,42,156,43,0.106
