#GAIA_ID RA Dec SDSS-u err_SDSS-u SDSS-g err_SDSS-g SDSS-r err_SDSS-r SDSS-i err_SDSS-i SDSS-z err_SDSS-z UKIDSS_Y err_UKIDSS_Y UKIDSS_J err_UKIDSS_J UKIDSS_H err_UKIDSS_H UKIDSS_K err_UKIDSS_K 2MASS_J err_2MASS_J 2MASS_H err_2MASS_H 2MASS_K err_2MASS_K WISE_W1 err_WISE_W1 WISE_W2 err_WISE_W2 WISE_W3 err_WISE_W3 WISE_W4 err_WISE_W4
759663235149655936 173.24981997995707 35.91060712733147 19.75 0.034 19.152 0.01 18.796 0.01 18.7 0.012 18.581 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.314 0.038 14.424 0.047 11.493 0.169 8.667 0.351
759665949568916352 173.70279830899494 35.73255173104486 18.099 0.014 17.888 0.006 17.873 0.006 17.835 0.007 17.78 0.01 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.491 0.03 13.469 0.033 10.455 0.077 7.769 0.174
759706975096301312 172.13765439981015 35.16730242239006 18.371 0.016 18.15 0.006 18.286 0.008 18.275 0.009 18.404 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.386 0.028 13.274 0.028 10.585 0.078 8.208 0.227
759728656091192448 172.2255506121958 35.41399449929958 15.048 0.005 13.739 0.002 13.039 0.002 12.712 0.002 12.418 0.0 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 12.815 0.052 12.086 0.048 11.683 0.039 10.824 0.022 10.832 0.021 8.159 0.022 5.803 0.042
759734535901904512 172.3211815234292 35.57572506294563 16.758 0.009 14.952 0.002 14.19 0.002 13.75 0.002 13.498 0.0 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 13.082 0.046 12.446 0.053 12.06 0.043 11.2 0.022 11.223 0.021 9.146 0.031 7.447 0.13
759735837276622976 172.29073744394665 35.64463125504695 19.196 0.022 18.756 0.008 18.543 0.009 18.506 0.011 18.415 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.747 0.03 13.695 0.033 11.101 0.132 8.867 0.468
759742606145422080 172.5222086467273 35.55590835444898 17.978 0.013 17.906 0.006 17.915 0.006 17.795 0.007 17.704 0.01 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.095 0.033 13.711 0.032 10.127 0.056 7.637 0.153
759785796336217344 171.99436289292208 35.67941780417665 18.602 0.016 18.51 0.007 18.433 0.008 18.471 0.011 18.561 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.832 0.032 13.649 0.032 10.959 0.127 8.946 0.52
759818609886743552 172.48446841996926 36.028598507322826 19.074 0.022 18.459 0.007 18.429 0.008 18.458 0.011 18.23 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.782 0.046 14.619 0.051 11.236 0.165 99.999 99.999
759828990822619136 171.9969195633919 36.03526344110652 18.788 0.018 18.412 0.007 18.429 0.008 18.378 0.01 18.327 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.417 0.027 13.362 0.028 10.563 0.091 7.74 0.161
759831769666334592 172.12804262595566 36.1817483744371 19.326 0.028 18.654 0.008 18.479 0.008 18.413 0.009 18.207 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.152 0.034 13.917 0.036 10.229 0.063 7.969 0.172
759841527832047872 172.24103220874176 36.380612560437186 19.242 0.026 18.019 0.006 17.828 0.006 17.658 0.007 17.445 0.01 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 16.249 0.092 15.83 0.152 15.029 0.11 14.322 0.027 13.583 0.031 11.0 0.117 99.999 99.999
759885061620732928 173.26643599208725 36.36229882254195 20.381 0.055 19.343 0.012 19.021 0.012 18.848 0.013 18.531 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.793 0.046 14.684 0.059 10.972 0.119 99.999 99.999
759940140281155968 172.63707703381291 36.540120714129834 18.951 0.02 18.856 0.008 18.693 0.01 18.6 0.012 18.552 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.27 0.036 14.028 0.038 10.743 0.111 7.904 0.195
759964192097945728 173.1093308202348 36.910135492209584 18.909 0.02 18.58 0.008 18.395 0.008 18.056 0.008 17.96 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.976 0.033 13.586 0.032 10.423 0.079 8.113 0.215
